p,wobble_p,wobble_pm1,delta_w,farey_size_p,mertens_p,m_over_sqrt_p,violation
11,2.152910612212938e-02,2.030423280423279e-02,-1.224873317896585e-03,43,-2,-0.6030226892,0
13,2.075641715472223e-02,1.810135294177848e-02,-2.655064212943755e-03,59,-3,-0.8320502943,0
17,1.719378999927818e-02,1.583813134739061e-02,-1.355658651887564e-03,97,-2,-0.4850712501,0
19,1.763377707953995e-02,1.568138629460732e-02,-1.952390784932624e-03,121,-3,-0.6882472016,0
23,1.477572803964085e-02,1.375564500718275e-02,-1.020083032458102e-03,173,-2,-0.4170288281,0
29,1.276338232252439e-02,1.195821223071718e-02,-8.051700918072138e-04,271,-2,-0.3713906764,0
31,1.321441661379261e-02,1.193623688620671e-02,-1.278179727585902e-03,309,-4,-0.7184212081,0
37,1.070963544247307e-02,1.010820132133190e-02,-6.014341211411679e-04,433,-2,-0.3287979746,0
41,1.022184045814434e-02,9.851174510050584e-03,-3.706659480937572e-04,531,-1,-0.1561737619,0
43,1.024056559739106e-02,9.565085443900605e-03,-6.754801534904539e-04,585,-3,-0.4574957110,0
47,9.567360203798564e-03,8.993402456866533e-03,-5.739577469320301e-04,697,-3,-0.4375949745,0
53,8.698473813388027e-03,8.237270530185992e-03,-4.612032832020350e-04,883,-3,-0.4120816918,0
59,7.776793427028332e-03,7.561481797105875e-03,-2.153116299224564e-04,1087,-1,-0.1301889110,0
61,7.861849402191022e-03,7.513442564256202e-03,-3.484068379348204e-04,1163,-2,-0.2560737599,0
67,7.142225793882974e-03,6.865517787210715e-03,-2.767080066722587e-04,1395,-2,-0.2443388887,0
71,6.773385279115762e-03,6.478757004043748e-03,-2.946282750720137e-04,1565,-3,-0.3560344975,0
73,6.946401918203743e-03,6.586222333531578e-03,-3.601795846721644e-04,1661,-4,-0.4681645888,0
79,6.340431912226266e-03,6.056548299610739e-03,-2.838836126155273e-04,1935,-4,-0.4500351604,0
83,6.271198462830051e-03,5.986771320864912e-03,-2.844271419651387e-04,2143,-4,-0.4390570400,0
89,5.757284984221700e-03,5.566615963070252e-03,-1.906690211514479e-04,2457,-2,-0.2119995760,0
97,5.329271349352067e-03,5.279452817718442e-03,-4.981853163362523e-05,2903,1,0.1015346165,0
101,5.053117156499200e-03,4.967835506294375e-03,-8.528165020482530e-05,3145,0,0.0000000000,0
103,5.055305889935096e-03,4.909037077436488e-03,-1.462688124986072e-04,3279,-2,-0.1970658556,0
107,4.971499171702673e-03,4.798562456316658e-03,-1.729367153860146e-04,3533,-3,-0.2900209467,0
109,5.090074618883417e-03,4.885357624142789e-03,-2.047169947406282e-04,3677,-4,-0.3831305141,0
113,4.983226651176004e-03,4.766805940038678e-03,-2.164207111373263e-04,3949,-5,-0.4703604342,0
127,4.195566776886578e-03,4.096419168311414e-03,-9.914760857516417e-05,4959,-2,-0.1774713019,0
131,4.184934717709258e-03,4.071883549130074e-03,-1.130511685791839e-04,5285,-3,-0.2621112170,0
137,3.942707105202139e-03,3.847740455034853e-03,-9.496665016728561e-05,5771,-2,-0.1708715315,0
139,4.011424021399156e-03,3.885044021794727e-03,-1.263799996044294e-04,5953,-4,-0.3392755719,0
149,3.659928591836910e-03,3.608057862816134e-03,-5.187072902077634e-05,6819,0,0.0000000000,0
151,3.693615499863466e-03,3.619695400918453e-03,-7.392009894501310e-05,7009,-1,-0.0813788459,0
157,3.508913426928159e-03,3.429779087617789e-03,-7.913433931036953e-05,7561,-2,-0.1596173769,0
163,3.420604958228513e-03,3.369061669888145e-03,-5.154328834036832e-05,8155,0,0.0000000000,0
167,3.362867547687978e-03,3.299658840995476e-03,-6.320870669250175e-05,8563,-1,-0.0773823233,0
173,3.272240404873461e-03,3.194466972590233e-03,-7.777343228322804e-05,9195,-3,-0.2280857764,0
179,3.159197342257618e-03,3.086913396415935e-03,-7.228394584168300e-05,9833,-3,-0.2242305278,0
181,3.214354451411855e-03,3.127934105386000e-03,-8.642034602585405e-05,10061,-4,-0.2973176585,0
191,2.950548767167353e-03,2.880534054974872e-03,-7.001471219248052e-05,11167,-5,-0.3617873026,0
193,3.005471056521758e-03,2.923965783131292e-03,-8.150527339046603e-05,11423,-6,-0.4318894504,0
197,3.004932307378529e-03,2.914061994163421e-03,-9.087031321510777e-05,11895,-7,-0.4987293499,0
199,3.078660452521340e-03,2.976250894898023e-03,-1.024095576233172e-04,12153,-8,-0.5671049640,0
211,2.695318307117224e-03,2.643838152246733e-03,-5.148015487049101e-05,13625,-2,-0.1376856782,0
223,2.585700983098267e-03,2.579307957187749e-03,-6.393025910518026e-06,15213,3,0.2008948591,0
227,2.570221233979238e-03,2.559819165262846e-03,-1.040206871639202e-05,15767,3,0.1991169935,0
229,2.575558563222284e-03,2.553667116748277e-03,-2.189144647400665e-05,16067,2,0.1321637201,0
233,2.488397539687318e-03,2.448632538955047e-03,-3.976500073227121e-05,16619,-1,-0.0655121782,0
239,2.416386855361097e-03,2.380244062873037e-03,-3.614279248806071e-05,17481,-1,-0.0646846227,0
241,2.443378226495016e-03,2.398764125479231e-03,-4.461410101578526e-05,17785,-2,-0.1288313253,0
251,2.325831566326243e-03,2.290750490424385e-03,-3.508107590185789e-05,19275,-2,-0.1262388806,0
257,2.262112611963271e-03,2.227002202944892e-03,-3.511040901837872e-05,20205,-2,-0.1247565723,0
263,2.211104894289224e-03,2.177900196374449e-03,-3.320469791477437e-05,21161,-2,-0.1233252832,0
269,2.160063885576680e-03,2.129915216217015e-03,-3.014866935966516e-05,22133,-2,-0.1219421522,0
271,2.184491033439481e-03,2.147622143127201e-03,-3.686889031228029e-05,22475,-3,-0.1822370218,0
277,2.134264854984504e-03,2.091853505717751e-03,-4.241134926675312e-05,23447,-4,-0.2403367073,0
281,2.146685196795098e-03,2.103420688401631e-03,-4.326450839346697e-05,24141,-4,-0.2386199945,0
283,2.189649723850857e-03,2.138659982631323e-03,-5.098974121953408e-05,24515,-6,-0.3566629790,0
293,2.110566074516330e-03,2.060595420700112e-03,-4.997065381621719e-05,26267,-8,-0.4673649903,0
307,1.899117421852183e-03,1.875783952722360e-03,-2.333346912982326e-05,28787,-2,-0.1141460291,0
311,1.890203108296334e-03,1.862411970970982e-03,-2.779113732535193e-05,29541,-3,-0.1701143931,0
313,1.913825342937296e-03,1.880771371254135e-03,-3.305397168316179e-05,29949,-4,-0.2260933676,0
317,1.918367963488111e-03,1.884229842626884e-03,-3.413812086122702e-05,30721,-4,-0.2246623825,0
331,1.787968984937344e-03,1.772298580713996e-03,-1.567040422334855e-05,33437,0,0.0000000000,0
337,1.765324924177083e-03,1.753769975699621e-03,-1.155494847746128e-05,34679,1,0.0544734711,0
347,1.718217891986990e-03,1.709073585082729e-03,-9.144306904260678e-06,36751,2,0.1073656254,0
349,1.720927605068905e-03,1.706794526015688e-03,-1.413307905321682e-05,37211,1,0.0535287728,0
353,1.701064669200284e-03,1.682973557351329e-03,-1.809111184895547e-05,38059,0,0.0000000000,0
359,1.667851099880713e-03,1.648911173101049e-03,-1.893992677966380e-05,39359,-1,-0.0527779814,0
367,1.648517130639937e-03,1.629507059922389e-03,-1.901007071754778e-05,41115,-1,-0.0521995751,0
373,1.611300035307559e-03,1.591109489834947e-03,-2.019054547261283e-05,42479,-2,-0.1035560746,0
379,1.578513858493192e-03,1.557277284576445e-03,-2.123657391674637e-05,43845,-3,-0.1540996491,0
383,1.588005363977947e-03,1.567347428197865e-03,-2.065793578008178e-05,44813,-2,-0.1021952261,0
389,1.565128228794416e-03,1.542736371930102e-03,-2.239185686431417e-05,46205,-3,-0.1521060380,0
397,1.543482043300206e-03,1.529246847532885e-03,-1.423519576732100e-05,48105,1,0.0501885613,0
401,1.548264803424582e-03,1.530956416936713e-03,-1.730838648786857e-05,49079,0,0.0000000000,0
409,1.483385227890407e-03,1.467213818686613e-03,-1.617140920379405e-05,51051,-1,-0.0494468176,0
419,1.432488696309365e-03,1.421048761944787e-03,-1.143993436457792e-05,53561,0,0.0000000000,0
421,1.443171814233093e-03,1.429240997368344e-03,-1.393081686474934e-05,54077,-1,-0.0487370179,0
431,1.388478975542527e-03,1.374434525320411e-03,-1.404445022211626e-05,56641,-3,-0.1445049153,0
433,1.398497909130039e-03,1.381812367608898e-03,-1.668554152114087e-05,57217,-4,-0.1922277325,0
439,1.398197178256073e-03,1.378967513729274e-03,-1.922966452679899e-05,58815,-7,-0.3340917719,0
443,1.406171030990120e-03,1.383245241642956e-03,-2.292578934716362e-05,59861,-9,-0.4276029043,0
449,1.372712694593595e-03,1.352487966826565e-03,-2.022472776702926e-05,61515,-7,-0.3303504247,0
457,1.344820844583923e-03,1.326747678367171e-03,-1.807316621675213e-05,63673,-6,-0.2806681618,0
461,1.336022448982225e-03,1.316685773056177e-03,-1.933667592604821e-05,64825,-6,-0.2794478597,0
463,1.347245816514187e-03,1.326312491961227e-03,-2.093332455295992e-05,65407,-6,-0.2788436474,0
